CUI,Canonical name
C0027540,Necrosis
C0264972,Aneurysm of hepatic artery
C0262431,Compression fracture of vertebral column
C0013687,effusion
C0333186,Restenosis
C1541124,Pyloric obstruction
C0030305,Pancreatitis
C0475319,Pelvic hematoma
C1956257,Pulmonary Stenosis
C0151693,Adrenal hemorrhage
C4511687,Pancreatic Intraductal Papillary Mucinous Neoplasm
C0600139,Prostate carcinoma
C0010051,Coronary Aneurysm
C0024121,Lung Neoplasms
C0240059,Ventricular hemorrhage
C0008707,Chronic osteomyelitis
C0333099,Fusiform Aneurysm
C0023269,leiomyosarcoma
C0475358,Tumor tissue sample
C0023370,Leriche Syndrome
C0018944,Hematoma
C0007134,Renal Cell Carcinoma
C0029445,Bone necrosis
C1142578,Bilateral pneumonia
C2317432,Effusion (substance)
C0034069,Pulmonary Fibrosis
C0521169,Compression fracture
C0040583,Tracheal Stenosis
C0011168,Deglutition Disorders
C0032019,Pituitary Neoplasms
C0740277,Bile duct carcinoma
C0553580,Ewings sarcoma
C0034088,Pulmonary Valve Insufficiency
C0010346,Crohn Disease
C0038356,Stomach Neoplasms
C0003615,Appendicitis
C0340654,Arterial hemorrhage
C0151701,Pulmonary hemorrhage
C0149521,"Pancreatitis, Chronic"
C0155747,Aneurysm of splenic artery
C0042487,Venous Thrombosis
C0238463,Papillary thyroid carcinoma
C0032300,Lobar Pneumonia
C0034065,Pulmonary Embolism
C0856747,"Aneurysm, Ascending Aorta"
C4476767,Diffuse alveolar hemorrhage
C0410480,Avascular Necrosis of Femur Head
C0016059,Fibrosis
C0002940,Aneurysm
C0012736,Dissecting aortic aneurysm
C0585442,Osteosarcoma of bone
C0152013,Adenocarcinoma of lung (disorder)
C0007124,Noninfiltrating Intraductal Carcinoma
C0263628,Tumoral calcinosis
C0235782,Gallbladder Carcinoma
C0026691,Mucocutaneous Lymph Node Syndrome
C0007131,Non-Small Cell Lung Carcinoma
C3887532,Ulceration
C0016663,Pathological fracture
C1956346,Coronary Artery Disease
C0311245,Congenital cystic kidney disease
C0277785,Functional disorder
C0948008,Ischemic stroke
C0026269,Mitral Valve Stenosis
C0333222,Septic embolus
C0221376,Hydrosalpinx (disease)
C0238408,Hematoma of rectus sheath
C0473124,Perinephric hematoma
C1370824,Interstitial emphysema
C0206692,"Carcinoma, Lobular"
C0151936,Disorder of tendon
C0149978,Adenocarcinoma of rectum
C1800706,Idiopathic Pulmonary Fibrosis
C0192389,Dilation of esophagus due to disease
C0543478,Residual Tumor
C5203670,COVID19 (disease)
C2711227,Steatohepatitis
C0022656,Kidney Cortex Necrosis
C0151705,Retroperitoneal Hemorrhage
C1306460,Primary malignant neoplasm of lung
C0023890,Liver Cirrhosis
C0018994,Biliary Tract Hemorrhage
C0027651,Neoplasms
C0008479,Chondrosarcoma
C0026267,Mitral Valve Prolapse Syndrome
C0037944,Spinal Stenosis
C0460048,Large bowel obstruction
C0007137,Squamous cell carcinoma
C3665332,Primary hypertrophic cardiomyopathy
C0265205,Robinow Syndrome
C0340776,Aneurysm of vein
C2960749,Intratumor route
C0019080,Hemorrhage
C0038525,Subarachnoid Hemorrhage
C0003507,Aortic Valve Stenosis
C0162869,"Aneurysm, Ruptured"
C1290884,Inflammatory disorder
C0085693,Acute appendicitis NOS (disorder)
C0037928,Spinal Cord Diseases
C1290344,Nonspecific interstitial pneumonia
C0001168,Complete obstruction
C0699790,Colon Carcinoma
C2713497,Saccular Aneurysm
C0009319,Colitis
C0027059,Myocarditis
C1561643,Chronic Kidney Diseases
C0333559,"Infarction, Lacunar"
C0001339,"Pancreatitis, Acute"
C0265893,Congenital aneurysm of sinus of Valsalva
C0392464,Ventricular aneurysm
C0524702,Pulmonary Thromboembolisms
C2733397,Cor bovinum (disorder)
C0037998,Splenic Infarction
C0243026,Sepsis
C0013292,Duodenal Obstruction
C0281361,Adenocarcinoma of pancreas
C0267941,Pancreatitis Necrotizing
C0038536,Subcutaneous Emphysema
C0220650,Metastatic malignant neoplasm to brain
C1739395,Takotsubo Cardiomyopathy
C3163918,Tumor thrombus
C0015668,Fat necrosis
C0006285,Bronchopneumonia
C0240412,Muscle hematoma
C0475278,Large tumor
C0020295,Hydronephrosis
C0009324,Ulcerative Colitis
C1527390,"Neoplasms, Intracranial"
C0023903,Liver neoplasms
C0919267,ovarian neoplasm
C0035615,Right aortic arch (disorder)
C0206695,"Carcinoma, Neuroendocrine"
C0032285,Pneumonia
C0005683,Urinary Bladder Calculi (disorder)
C0521622,Bilateral hydronephrosis
C0041327,"Tuberculosis, Pulmonary"
C1261473,Sarcoma
C0027051,Myocardial Infarction
C0007115,Malignant neoplasm of thyroid
C0876973,Infectious Lung Disorder
C0014859,Esophageal Neoplasms
C0155626,Acute myocardial infarction
C0264733,Ventricular dilatation (disorder)
C1321546,Anaplastic large B-cell lymphoma
C0002895,"Anemia, Sickle Cell"
C0333159,Emphysematous
C0040961,Tricuspid Valve Insufficiency
C0264515,"Pneumonia, Necrotizing"
C0341512,Retroperitoneal hematoma
C0014008,Empty Sella Syndrome
C1510412,Pseudoaneurysm
C0519097,Left ventricular aneurysm
C0151699,Intracranial Hemorrhage
C0949022,Malignant Rectal Neoplasm
C0521619,Obstruction of pelviureteric junction
C0007785,Cerebral Infarction
C0019569,Hirschsprung Disease
C0032310,"Pneumonia, Viral"
C0037579,Soft Tissue Neoplasms
C0149871,Deep Vein Thrombosis
C0333200,Intramural hematoma
C0476089,Endometrial Carcinoma
C0162871,"Aortic Aneurysm, Abdominal"
C0155773,Portal Vein Thrombosis
C0149854,Cerebellar hemorrhage
C0029456,Osteoporosis
C0553730,Calcium pyrophosphate deposition disease
C0013922,Embolism
C0238198,Gastrointestinal Stromal Tumors
C0021308,Infarction
C0559523,Genital tuberculosis
C1527303,Chronic Airflow Obstruction
C0034074,Pulmonary Infarction
C0003838,Arterial Occlusive Diseases
C0007286,Carpal Tunnel Syndrome
C0240340,Microdontia (disorder)
C0012813,Diverticulitis
C0010674,Cystic Fibrosis
C0333276,Acute hemorrhage
C0206062,"Lung Diseases, Interstitial"
C0025062,Mediastinal Emphysema
C0005695,Bladder Neoplasm
C2882221,Acute pulmonary embolism
C0162872,"Aortic Aneurysm, Thoracic"
C0678222,Breast Carcinoma
C1692886,"Arthritis, Bacterial"
C1134719,Invasive Ductal Breast Carcinoma
C0085808,"Aneurysm, Mycotic"
C3887513,Avascular necrosis
C0235974,Pancreatic carcinoma
C5244027,Pneumonia caused by SARS-CoV-2
C0022665,Kidney Neoplasm
C0206702,Klatskin Tumor
C0699791,Stomach Carcinoma
C0745283,INFECTIOUS PROCESS
C0003864,Arthritis
C0877172,"Hematoma, Epidural, Spinal"
C0007193,"Cardiomyopathy, Dilated"
C0267156,Emphysematous gastritis
C1145670,Respiratory Failure
C4317009,Diverticular Diseases
C0003504,Aortic Valve Insufficiency
C0686619,Lymph Node Metastasis
C0496827,Malignant neoplasm of dome of bladder
C0024623,Malignant neoplasm of stomach
C0030297,Pancreatic Neoplasm
C0007570,Celiac Disease
C0472809,Subcapsular hematoma of spleen
C1261287,Stenosis
C0346990,Carcinomatosis of peritoneal cavity
C0018801,Heart failure
C0001624,Adrenal Gland Neoplasms
C1882062,Neoplastic disease
C0032227,Pleural effusion disorder
C0403379,Emphysematous pyelonephritis
C0040053,Thrombosis
C0031039,Pericardial effusion
C0018802,Congestive heart failure
C0153690,Secondary malignant neoplasm of bone
C2939419,Secondary Neoplasm
C1306838,Proliferative arthritis
C4048328,cervical cancer
C0029408,Degenerative polyarthritis
C0333288,Dissecting hemorrhage
C2937358,Cerebral Hemorrhage
C0041321,"Tuberculosis, Miliary"
C0036525,Metastatic to
C0024305,"Lymphoma, Non-Hodgkin"
C0009450,Communicable Diseases
C0400979,Obstruction of biliary tree
